User_ID,Age,Days_Since_Signup,Sessions,Visits,Features_Used,Avg_Session_Minutes,Trial_Days_Used,Support_Interactions,Converted
U001,46.0,107.0,8.0,9.0,4.0,8.7,20.0,1.0,0
U002,32.0,137.0,10.0,13.0,4.0,14.2,26.0,3.0,1
U003,25.0,7.0,7.0,18.0,4.0,12.4,4.0,3.0,0
U004,38.0,11.0,15.0,9.0,2.0,13.5,0.0,1.0,0
U005,36.0,148.0,11.0,16.0,8.0,12.9,16.0,,1
U006,40.0,109.0,8.0,21.0,7.0,9.6,18.0,2.0,1
U007,28.0,33.0,12.0,,4.0,15.2,13.0,1.0,0
U008,28.0,143.0,9.0,15.0,,7.6,11.0,2.0,0
U009,41.0,21.0,14.0,10.0,8.0,19.9,9.0,0.0,1
U010,53.0,96.0,6.0,17.0,6.0,17.7,19.0,1.0,1
U011,41.0,48.0,16.0,13.0,7.0,11.0,20.0,3.0,1
U012,20.0,130.0,13.0,20.0,7.0,11.3,17.0,4.0,1
U013,39.0,69.0,7.0,25.0,5.0,15.7,23.0,0.0,1
U014,19.0,102.0,13.0,26.0,4.0,9.2,26.0,1.0,1
U015,41.0,58.0,8.0,20.0,6.0,24.9,10.0,1.0,0
U016,47.0,102.0,8.0,15.0,5.0,16.1,29.0,3.0,1
U017,55.0,138.0,13.0,17.0,6.0,16.4,1.0,3.0,0
U018,19.0,157.0,12.0,16.0,4.0,18.1,24.0,3.0,1
U019,38.0,149.0,10.0,21.0,9.0,10.5,17.0,1.0,1
U020,50.0,177.0,10.0,20.0,6.0,20.5,28.0,0.0,1
U021,29.0,35.0,12.0,16.0,3.0,14.7,24.0,2.0,1
U022,39.0,42.0,11.0,11.0,1.0,19.7,6.0,3.0,0
U023,42.0,19.0,11.0,13.0,6.0,12.8,30.0,4.0,1
U024,44.0,166.0,13.0,15.0,3.0,21.9,23.0,0.0,1
U025,45.0,77.0,10.0,19.0,6.0,16.4,14.0,2.0,0
U026,33.0,92.0,17.0,11.0,2.0,27.1,10.0,2.0,1
U027,32.0,34.0,15.0,18.0,3.0,11.8,17.0,2.0,1
U028,20.0,72.0,10.0,14.0,5.0,,22.0,2.0,1
U029,54.0,176.0,9.0,20.0,3.0,7.8,11.0,0.0,0
U030,24.0,51.0,13.0,10.0,4.0,10.8,5.0,0.0,0
U031,38.0,68.0,6.0,14.0,5.0,17.7,19.0,2.0,0
U032,26.0,140.0,11.0,15.0,6.0,20.8,22.0,2.0,1
U033,35.0,,13.0,12.0,3.0,31.8,29.0,3.0,1
U034,21.0,34.0,13.0,16.0,3.0,13.4,12.0,1.0,0
U035,,114.0,,12.0,4.0,8.4,19.0,5.0,1
U036,31.0,50.0,16.0,16.0,5.0,18.5,15.0,1.0,1
U037,26.0,90.0,11.0,17.0,4.0,7.2,17.0,1.0,1
U038,43.0,36.0,12.0,13.0,2.0,17.4,9.0,2.0,0
U039,19.0,81.0,9.0,17.0,6.0,11.0,27.0,1.0,1
U040,37.0,134.0,6.0,18.0,6.0,15.3,22.0,0.0,1
U041,45.0,,11.0,20.0,8.0,20.5,7.0,1.0,1
U042,24.0,135.0,12.0,16.0,1.0,13.3,17.0,1.0,0
U043,25.0,127.0,10.0,14.0,6.0,19.6,20.0,0.0,1
U044,52.0,33.0,11.0,16.0,2.0,19.2,0.0,1.0,0
U045,31.0,127.0,8.0,11.0,5.0,2.8,22.0,2.0,0
U046,34.0,122.0,6.0,16.0,2.0,8.6,7.0,1.0,0
U047,53.0,9.0,11.0,14.0,6.0,4.6,28.0,2.0,0
U048,21.0,109.0,12.0,13.0,4.0,26.0,5.0,3.0,1
U049,19.0,161.0,9.0,18.0,3.0,13.4,4.0,2.0,1
U050,23.0,143.0,9.0,16.0,5.0,24.7,14.0,1.0,0
U051,21.0,68.0,5.0,23.0,6.0,4.2,21.0,3.0,0
U052,46.0,171.0,13.0,22.0,3.0,10.6,14.0,0.0,0
U053,35.0,57.0,7.0,12.0,4.0,18.8,1.0,1.0,0
U054,43.0,178.0,8.0,13.0,8.0,15.1,0.0,2.0,0
U055,51.0,158.0,13.0,12.0,4.0,17.2,22.0,1.0,1
U056,27.0,65.0,13.0,10.0,10.0,6.5,22.0,0.0,1
U057,53.0,124.0,12.0,10.0,4.0,22.3,25.0,1.0,1
U058,31.0,166.0,8.0,17.0,5.0,18.7,10.0,2.0,0
U059,48.0,102.0,14.0,13.0,10.0,16.4,9.0,1.0,1
U060,32.0,119.0,6.0,15.0,3.0,9.9,29.0,3.0,1
U061,25.0,68.0,13.0,11.0,4.0,15.9,17.0,1.0,1
U062,31.0,58.0,6.0,6.0,7.0,12.3,17.0,1.0,1
U063,40.0,18.0,11.0,12.0,5.0,4.1,16.0,2.0,0
U064,38.0,45.0,10.0,9.0,10.0,13.7,25.0,1.0,1
U065,33.0,136.0,12.0,14.0,4.0,13.1,7.0,1.0,1
U066,35.0,137.0,4.0,13.0,2.0,20.4,14.0,2.0,0
U067,41.0,119.0,12.0,17.0,3.0,2.0,7.0,1.0,0
U068,43.0,107.0,15.0,19.0,5.0,15.4,16.0,1.0,1
U069,42.0,119.0,7.0,9.0,8.0,7.1,11.0,3.0,0
U070,46.0,87.0,12.0,21.0,4.0,15.9,26.0,0.0,0
U071,32.0,119.0,12.0,12.0,3.0,16.2,7.0,0.0,0
U072,18.0,8.0,12.0,18.0,8.0,13.5,24.0,1.0,0
U073,42.0,136.0,16.0,11.0,6.0,18.8,13.0,1.0,1
U074,24.0,60.0,5.0,15.0,8.0,6.5,3.0,1.0,1
U075,26.0,93.0,13.0,13.0,3.0,20.6,0.0,2.0,0
U076,41.0,135.0,9.0,18.0,3.0,9.8,0.0,1.0,0
U077,18.0,153.0,9.0,12.0,5.0,4.7,18.0,3.0,0
U078,25.0,132.0,13.0,21.0,11.0,12.4,30.0,1.0,1
U079,41.0,136.0,15.0,15.0,7.0,2.0,15.0,3.0,0
U080,28.0,59.0,14.0,14.0,4.0,15.5,13.0,1.0,0
U081,34.0,,10.0,12.0,3.0,12.4,20.0,0.0,1
U082,25.0,166.0,14.0,14.0,8.0,21.4,15.0,2.0,1
U083,52.0,166.0,10.0,13.0,8.0,17.9,4.0,0.0,1
U084,52.0,74.0,14.0,13.0,3.0,5.6,8.0,1.0,0
U085,50.0,129.0,16.0,20.0,3.0,9.0,25.0,3.0,1
U086,22.0,151.0,14.0,17.0,6.0,17.1,29.0,1.0,0
U087,45.0,44.0,16.0,15.0,2.0,19.1,27.0,0.0,0
U088,24.0,30.0,6.0,15.0,7.0,21.3,1.0,4.0,1
U089,26.0,75.0,12.0,18.0,5.0,21.3,17.0,1.0,1
U090,25.0,122.0,10.0,10.0,5.0,13.5,5.0,2.0,0
U091,29.0,104.0,9.0,13.0,6.0,16.2,30.0,0.0,1
U092,51.0,145.0,14.0,16.0,1.0,21.8,8.0,1.0,1
U093,50.0,150.0,11.0,12.0,10.0,12.2,0.0,3.0,0
U094,40.0,103.0,11.0,10.0,2.0,16.3,8.0,1.0,0
U095,41.0,130.0,16.0,11.0,5.0,12.0,24.0,0.0,1
U096,54.0,76.0,6.0,12.0,4.0,10.7,15.0,1.0,0
U097,52.0,99.0,14.0,21.0,5.0,14.3,12.0,1.0,1
U098,39.0,9.0,6.0,15.0,4.0,9.9,8.0,0.0,1
U099,44.0,154.0,13.0,12.0,5.0,13.2,20.0,0.0,0
U100,52.0,170.0,14.0,16.0,6.0,7.8,12.0,3.0,1
U003,25.0,7.0,7.0,18.0,4.0,12.4,4.0,3.0,0
U016,47.0,102.0,8.0,15.0,5.0,16.1,29.0,3.0,1
U028,20.0,72.0,10.0,14.0,5.0,15.2,,2.0,1
U045,31.0,127.0,8.0,11.0,5.0,2.8,22.0,2.0,0
U069,42.0,119.0,7.0,9.0,8.0,7.1,11.0,3.0,0
M001,,109.0,8.0,21.0,7.0,9.6,18.0,,1
M002,,149.0,10.0,21.0,9.0,10.5,17.0,1.0,1
M003,,140.0,11.0,15.0,6.0,20.8,22.0,2.0,1
M004,21.0,109.0,,13.0,4.0,26.0,5.0,3.0,1
M005,32.0,119.0,,15.0,3.0,9.9,29.0,3.0,1
M006,42.0,136.0,16.0,11.0,6.0,,13.0,1.0,1
M007,52.0,74.0,14.0,13.0,3.0,,8.0,1.0,0
M008,52.0,99.0,14.0,21.0,5.0,14.3,12.0,,1
U034,21.0,34.0,13.0,16.0,3.0,13.4,12.0,1.0,0
U073,,136.0,16.0,11.0,6.0,18.8,13.0,1.0,1
U067,41.0,119.0,12.0,17.0,3.0,2.0,7.0,1.0,0
U052,46.0,171.0,13.0,22.0,3.0,10.6,14.0,0.0,0
U047,53.0,9.0,11.0,14.0,6.0,4.6,28.0,2.0,0
U044,52.0,33.0,11.0,16.0,2.0,19.2,0.0,1.0,0
